STT,MANGANH,TEN_NGANHCHUAN,MA_TO_HOP,tb_keys,TEN_TO_HOP,Gốc,Độ lệch
1,7140114,Quản lý giáo dục,"B03(TO-3,VA-3,SI-1)",7140114_B03,B03,,0
2,7140114,Quản lý giáo dục,"C01(TO-3,VA-3,LI-1)",7140114_C01,C01,,"1,62"
3,7140114,Quản lý giáo dục,"C02(TO-3,VA-3,HO-1)",7140114_C02,C02,,0
4,7140114,Quản lý giáo dục,"C03(TO-3,VA-3,SU-1)",7140114_C03,C03,,0
5,7140114,Quản lý giáo dục,"C04(TO-3,VA-3,DI-1)",7140114_C04,C04,,0
6,7140114,Quản lý giáo dục,"D01(TO-3,VA-3,N1-1)",7140114_D01,D01,Gốc,0
7,7140114,Quản lý giáo dục,"X01(TO-3,VA-3,KTPL-1)",7140114_X01,X01,,0
8,7140114,Quản lý giáo dục,"X02(TO-3,VA-3,TI-1)",7140114_X02,X02,,0
9,7140114,Quản lý giáo dục,"X03(TO-3,VA-3,CNCN-1)",7140114_X03,X03,,0
10,7140114,Quản lý giáo dục,"X04(TO-3,VA-3,CNNN-1)",7140114_X04,X04,,0
11,7140201,Giáo dục mầm non,"M01(NK1-1,NK2-1,VA-1)",7140201_M01,M01,Gốc,0
12,7140201,Giáo dục mầm non,"M02(NK1-1,TO-1,NK2-1)",7140201_M02,M02,,0
13,7140202,Giáo dục Tiểu học,"B03(TO-3,VA-3,SI-1)",7140202_B03,B03,,0
14,7140202,Giáo dục Tiểu học,"C01(TO-3,VA-3,LI-1)",7140202_C01,C01,Gốc,0
15,7140202,Giáo dục Tiểu học,"C02(TO-3,VA-3,HO-1)",7140202_C02,C02,,0
16,7140202,Giáo dục Tiểu học,"C03(TO-3,VA-3,SU-1)",7140202_C03,C03,,0
17,7140202,Giáo dục Tiểu học,"C04(TO-3,VA-3,DI-1)",7140202_C04,C04,,0
18,7140202,Giáo dục Tiểu học,"D01(TO-3,VA-3,N1-1)",7140202_D01,D01,,"-1,62"
19,7140202,Giáo dục Tiểu học,"X01(TO-3,VA-3,KTPL-1)",7140202_X01,X01,,0
20,7140202,Giáo dục Tiểu học,"X02(TO-3,VA-3,TI-1)",7140202_X02,X02,,0
21,7140202,Giáo dục Tiểu học,"X03(TO-3,VA-3,CNCN-1)",7140202_X03,X03,,0
22,7140202,Giáo dục Tiểu học,"X04(TO-3,VA-3,CNNN-1)",7140202_X04,X04,,0
23,7140205,Giáo dục Chính trị,"B03(TO-1,VA-3,SI-1)",7140205_B03,B03,,0
24,7140205,Giáo dục Chính trị,"C01(TO-1,VA-3,LI-1)",7140205_C01,C01,Gốc,0
25,7140205,Giáo dục Chính trị,"C02(TO-1,VA-3,HO-1)",7140205_C02,C02,,0
26,7140205,Giáo dục Chính trị,"C03(TO-1,VA-3,SU-1)",7140205_C03,C03,,0
27,7140205,Giáo dục Chính trị,"C04(TO-1,VA-3,DI-1)",7140205_C04,C04,,0
28,7140205,Giáo dục Chính trị,"D01(TO-1,VA-3,N1-1)",7140205_D01,D01,,"-1,62"
29,7140205,Giáo dục Chính trị,"X01(TO-1,VA-3,KTPL-1)",7140205_X01,X01,,0
30,7140205,Giáo dục Chính trị,"X02(TO-1,VA-3,TI-1)",7140205_X02,X02,,0
31,7140205,Giáo dục Chính trị,"X03(TO-1,VA-3,CNCN-1)",7140205_X03,X03,,0
32,7140205,Giáo dục Chính trị,"X04(TO-1,VA-3,CNNN-1)",7140205_X04,X04,,0
33,7140209,Sư phạm Toán học,"A00(TO-5,LI-1,HO-1)",7140209_A00,A00,Gốc,0
34,7140209,Sư phạm Toán học,"A01(TO-5,LI-1,N1-1)",7140209_A01,A01,,"-0,69"
35,7140209,Sư phạm Toán học,"A02(TO-5,LI-1,SI-1)",7140209_A02,A02,,0
36,7140209,Sư phạm Toán học,"A03(TO-5,LI-1,SU-1)",7140209_A03,A03,,0
37,7140209,Sư phạm Toán học,"A04(TO-5,LI-1,DI-1)",7140209_A04,A04,,0
38,7140209,Sư phạm Toán học,"A05(TO-5,HO-1,SU-1)",7140209_A05,A05,,0
39,7140209,Sư phạm Toán học,"A06(TO-5,HO-1,DI-1)",7140209_A06,A06,,0
40,7140209,Sư phạm Toán học,"A07(TO-5,SU-1,DI-1)",7140209_A07,A07,,0
41,7140209,Sư phạm Toán học,"B00(TO-5,HO-1,SI-1)",7140209_B00,B00,,"-1,21"
42,7140209,Sư phạm Toán học,"B01(TO-5,SI-1,SU-1)",7140209_B01,B01,,0
43,7140209,Sư phạm Toán học,"B02(TO-5,SI-1,DI-1)",7140209_B02,B02,,0
44,7140209,Sư phạm Toán học,"B03(TO-5,VA-1,SI-1)",7140209_B03,B03,,0
45,7140209,Sư phạm Toán học,"B08(TO-5,SI-1,N1-1)",7140209_B08,B08,,0
46,7140209,Sư phạm Toán học,"C01(TO-5,VA-1,LI-1)",7140209_C01,C01,,"0,94"
47,7140209,Sư phạm Toán học,"C02(TO-5,VA-1,HO-1)",7140209_C02,C02,,0
48,7140209,Sư phạm Toán học,"C03(TO-5,VA-1,SU-1)",7140209_C03,C03,,0
49,7140209,Sư phạm Toán học,"C04(TO-5,VA-1,DI-1)",7140209_C04,C04,,0
50,7140209,Sư phạm Toán học,"D01(TO-5,VA-1,N1-1)",7140209_D01,D01,,"-0,68"
51,7140209,Sư phạm Toán học,"D07(TO-5,HO-1,N1-1)",7140209_D07,D07,,"-1,62"
52,7140209,Sư phạm Toán học,"D09(TO-5,SU-1,N1-1)",7140209_D09,D09,,0
53,7140209,Sư phạm Toán học,"D10(TO-5,DI-1,N1-1)",7140209_D10,D10,,0
54,7140209,Sư phạm Toán học,"X01(TO-5,VA-1,KTPL-1)",7140209_X01,X01,,0
55,7140209,Sư phạm Toán học,"X02(TO-5,VA-1,TI-1)",7140209_X02,X02,,0
56,7140209,Sư phạm Toán học,"X03(TO-5,VA-1,CNCN-1)",7140209_X03,X03,,0
57,7140209,Sư phạm Toán học,"X04(TO-5,VA-1,CNNN-1)",7140209_X04,X04,,0
58,7140209,Sư phạm Toán học,"X05(TO-5,LI-1,KTPL-1)",7140209_X05,X05,,0
59,7140209,Sư phạm Toán học,"X06(TO-5,LI-1,TI-1)",7140209_X06,X06,,0
60,7140209,Sư phạm Toán học,"X07(TO-5,LI-1,CNCN-1)",7140209_X07,X07,,0
61,7140209,Sư phạm Toán học,"X08(TO-5,LI-1,CNNN-1)",7140209_X08,X08,,0
62,7140209,Sư phạm Toán học,"X09(TO-5,HO-1,KTPL-1)",7140209_X09,X09,,0
63,7140209,Sư phạm Toán học,"X10(TO-5,HO-1,TI-1)",7140209_X10,X10,,0
64,7140209,Sư phạm Toán học,"X11(TO-5,HO-1,CNCN-1)",7140209_X11,X11,,0
65,7140209,Sư phạm Toán học,"X12(TO-5,HO-1,CNNN-1)",7140209_X12,X12,,0
66,7140209,Sư phạm Toán học,"X13(TO-5,SI-1,KTPL-1)",7140209_X13,X13,,0
67,7140209,Sư phạm Toán học,"X14(TO-5,SI-1,TI-1)",7140209_X14,X14,,0
68,7140209,Sư phạm Toán học,"X15(TO-5,SI-1,CNCN-1)",7140209_X15,X15,,0
69,7140209,Sư phạm Toán học,"X16(TO-5,SI-1,CNNN-1)",7140209_X16,X16,,0
70,7140209,Sư phạm Toán học,"X17(TO-5,SU-1,KTPL-1)",7140209_X17,X17,,0
71,7140209,Sư phạm Toán học,"X18(TO-5,SU-1,TI-1)",7140209_X18,X18,,0
72,7140209,Sư phạm Toán học,"X19(TO-5,SU-1,CNCN-1)",7140209_X19,X19,,0
73,7140209,Sư phạm Toán học,"X20(TO-5,SU-1,CNNN-1)",7140209_X20,X20,,0
74,7140209,Sư phạm Toán học,"X21(TO-5,DI-1,KTPL-1)",7140209_X21,X21,,0
75,7140209,Sư phạm Toán học,"X22(TO-5,DI-1,TI-1)",7140209_X22,X22,,0
76,7140209,Sư phạm Toán học,"X23(TO-5,DI-1,CNCN-1)",7140209_X23,X23,,0
77,7140209,Sư phạm Toán học,"X24(TO-5,DI-1,CNNN-1)",7140209_X24,X24,,0
78,7140209,Sư phạm Toán học,"X25(TO-5,N1-1,KTPL-1)",7140209_X25,X25,,0
79,7140209,Sư phạm Toán học,"X26(TO-5,N1-1,TI-1)",7140209_X26,X26,,0
80,7140209,Sư phạm Toán học,"X27(TO-5,N1-1,CNCN-1)",7140209_X27,X27,,0
81,7140209,Sư phạm Toán học,"X28(TO-5,N1-1,CNNN-1)",7140209_X28,X28,,0
82,7140209,Sư phạm Toán học,"X53(TO-5,KTPL-1,TI-1)",7140209_X53,X53,,0
83,7140209,Sư phạm Toán học,"X54(TO-5,KTPL-1,CNCN-1)",7140209_X54,X54,,0
84,7140209,Sư phạm Toán học,"X55(TO-5,KTPL-1,CNNN-1)",7140209_X55,X55,,0
85,7140209,Sư phạm Toán học,"X56(TO-5,TI-1,CNCN-1)",7140209_X56,X56,,0
86,7140209,Sư phạm Toán học,"X57(TO-5,TI-1,CNNN-1)",7140209_X57,X57,,0
87,7140211,Sư phạm Vật lý,"A00(TO-3,LI-5,HO-1)",7140211_A00,A00,Gốc,0
88,7140211,Sư phạm Vật lý,"A01(TO-3,LI-5,N1-1)",7140211_A01,A01,,"-0,69"
89,7140211,Sư phạm Vật lý,"A02(TO-3,LI-5,SI-1)",7140211_A02,A02,,0
90,7140211,Sư phạm Vật lý,"A03(TO-3,LI-5,SU-1)",7140211_A03,A03,,0
91,7140211,Sư phạm Vật lý,"A04(TO-3,LI-5,DI-1)",7140211_A04,A04,,0
92,7140211,Sư phạm Vật lý,"C01(TO-3,VA-1,LI-5)",7140211_C01,C01,,"0,94"
93,7140211,Sư phạm Vật lý,"X05(TO-3,LI-5,KTPL-1)",7140211_X05,X05,,0
94,7140211,Sư phạm Vật lý,"X06(TO-3,LI-5,TI-1)",7140211_X06,X06,,0
95,7140211,Sư phạm Vật lý,"X07(TO-3,LI-5,CNCN-1)",7140211_X07,X07,,0
96,7140211,Sư phạm Vật lý,"X08(TO-3,LI-5,CNNN-1)",7140211_X08,X08,,0
97,7140212,Sư phạm Hoá học,"A00(TO-3,LI-1,HO-5)",7140212_A00,A00,Gốc,0
98,7140212,Sư phạm Hoá học,"A05(TO-3,HO-5,SU-1)",7140212_A05,A05,,0
99,7140212,Sư phạm Hoá học,"A06(TO-3,HO-5,DI-1)",7140212_A06,A06,,0
100,7140212,Sư phạm Hoá học,"B00(TO-3,HO-5,SI-1)",7140212_B00,B00,,"-1,21"
